Departure,Return,Departure station id,Departure station name,Return station id,Return station name,Covered distance (m),Duration (sec.)
2016-10-31T23:59:00,2016-11-01,A24,Rautatientori / länsi,A26,Kiasma,222,99
2016-10-31T23:57:00,2016-10-31T23:58:00,A23,Rautatientori / itä,A24,Rautatientori / länsi,179,69
2016-10-31T23:55:00,2016-10-31T23:57:00,A22,Kaisaniemenpuisto,A23,Rautatientori / itä,273,95
2016-10-31T23:55:00,2016-10-31T23:58:00,A38,Kauppakorkeakoulu,A30,Kampin metroasema,477,183
2016-10-31T23:52:00,2016-10-31T23:55:00,A21,Varsapuistikko,A22,Kaisaniemenpuisto,516,157
2016-10-31T23:49:00,2016-10-31T23:52:00,A23,Rautatientori / itä,A10,Erottaja,469,156
2016-10-31T23:48:00,2016-10-31T23:52:00,A17,Liisanpuistikko,A21,Varsapuistikko,720,228
2016-10-31T23:43:00,2016-10-31T23:48:00,A20,Porthania,A17,Liisanpuistikko,1125,281
2016-10-31T23:40:00,2016-10-31T23:43:00,A18,Ritarikatu,A20,Porthania,506,165
2016-10-31T23:35:00,2016-10-31T23:40:00,A14,Kanavaranta,A18,Ritarikatu,375,250
2016-10-31T23:29:00,2016-10-31T23:35:00,A16,Merisotilaantori,A14,Kanavaranta,1198,355
2016-10-31T23:25:00,2016-10-31T23:29:00,A15,Mastokatu,A16,Merisotilaantori,759,195
2016-10-31T23:23:00,2016-10-31T23:27:00,A12,Unioninkatu,A29,Narinkka,1106,231
2016-10-31T23:23:00,2016-10-31T23:35:00,A12,Unioninkatu,C02,Ooppera,2344,668
2016-10-31T23:23:00,2016-10-31T23:36:00,A35,Apollonkatu,B03,Haapaniemenkatu,2632,799
2016-10-31T23:22:00,2016-10-31T23:25:00,A13,Kauppatori,A15,Mastokatu,698,169
2016-10-31T23:20:00,2016-10-31T23:22:00,A19,Senaatintori,A13,Kauppatori,332,118
2016-10-31T23:18:00,2016-10-31T23:20:00,A12,Unioninkatu,A19,Senaatintori,271,98
2016-10-31T23:16:00,2016-10-31T23:18:00,A10,Erottaja,A12,Unioninkatu,371,101
2016-10-31T23:13:00,2016-10-31T23:16:00,A11,Kasarmitori,A10,Erottaja,469,145
2016-10-31T23:11:00,2016-10-31T23:13:00,A07,Designmuseo,A11,Kasarmitori,349,110
2016-10-31T23:10:00,2016-10-31T23:22:00,A29,Narinkka,B02,Ympyrätalo,1884,708
2016-10-31T23:08:00,2016-10-31T23:16:00,A23,Rautatientori / itä,B02,Ympyrätalo,1598,473
2016-10-31T23:07:00,2016-10-31T23:15:00,A20,Porthania,A30,Kampin metroasema,1131,371
2016-10-31T23:05:00,2016-10-31T23:11:00,A02,Laivasillankatu,A07,Designmuseo,935,336
2016-10-31T23:03:00,2016-10-31T23:06:00,A20,Porthania,A18,Ritarikatu,588,158
2016-10-31T23:02:00,2016-10-31T23:05:00,A01,Kaivopuisto,A02,Laivasillankatu,549,151
2016-10-31T23:00:00,2016-10-31T23:02:00,A03,Kapteeninpuistikko,A01,Kaivopuisto,596,140
2016-10-31T22:58:00,2016-10-31T22:59:00,A04,Eiran Sairaala,A03,Kapteeninpuistikko,224,78
2016-10-31T22:57:00,2016-10-31T23:07:00,C02,Ooppera,A42,Baana,2597,618
2016-10-31T22:55:00,2016-10-31T22:57:00,A05,Sepänkatu,A04,Eiran Sairaala,324,132
2016-10-31T22:53:00,2016-10-31T23:03:00,C02,Ooppera,A28,Eerikinkatu,1978,631
2016-10-31T22:52:00,2016-10-31T22:54:00,A06,Viiskulma,A05,Sepänkatu,494,153
2016-10-31T22:51:00,2016-10-31T23:05:00,C02,Ooppera,B07,Brahen kenttä,1594,811
