Station,Month,Last 3 Year Avg Departures,Last 3 Year Avg Returns
Linnanmäki,4,66.5111111111111,61.888888888888886
Linnanmäki,5,101.55913978494624,96.46236559139786
Linnanmäki,6,144.42222222222222,137.74444444444444
Linnanmäki,7,147.58064516129033,143.03225806451613
Linnanmäki,8,126.38709677419355,121.15053763440861
Linnanmäki,9,73.66666666666667,69.21111111111111
Linnanmäki,10,45.494623655913976,43.16129032258065
Linnanmäki,11,45.494623655913976,43.16129032258065
Workshop Helsinki,4,7.72972972972973,1.4324324324324325
Workshop Helsinki,5,1.6428571428571428,2.142857142857143
Workshop Helsinki,6,1.3666666666666667,1.5
Workshop Helsinki,7,1.1428571428571428,2.0
Workshop Helsinki,8,1.5555555555555556,1.7777777777777777
Workshop Helsinki,9,1.0,1.75
Workshop Helsinki,10,1.0,1.0
Workshop Helsinki,11,1.0,1.0
Kampin metroasema,4,237.96666666666667,236.0
Kampin metroasema,5,279.0,279.03225806451616
Kampin metroasema,6,50.05596773976007,50.03646016874544
Kampin metroasema,7,44.87509422561094,44.83906542571891
Kampin metroasema,8,42.0579049538524,42.00460390586893
Kampin metroasema,9,29.779280546002088,29.698641047373798
Kampin metroasema,10,18.316620756614626,18.220855252140932
Kampin metroasema,11,18.316620756614626,18.220855252140932
Laivasillankatu,4,32.87777777777778,33.266666666666666
Laivasillankatu,5,49.43010752688172,49.946236559139784
Laivasillankatu,6,65.02222222222223,65.16666666666667
Laivasillankatu,7,49.376344086021504,49.225806451612904
Laivasillankatu,8,54.1505376344086,54.193548387096776
Laivasillankatu,9,32.98888888888889,32.75555555555555
Laivasillankatu,10,19.12087912087912,19.153846153846153
Laivasillankatu,11,19.12087912087912,19.153846153846153
Merisotilaantori,4,32.955555555555556,34.12222222222222
Merisotilaantori,5,43.666666666666664,47.11827956989247
Merisotilaantori,6,57.18888888888889,58.28888888888889
Merisotilaantori,7,50.225806451612904,51.26881720430107
Merisotilaantori,8,45.526881720430104,47.73118279569893
Merisotilaantori,9,32.477777777777774,33.96666666666667
Merisotilaantori,10,17.763440860215052,19.129032258064516
Merisotilaantori,11,17.763440860215052,19.129032258064516
Baana,4,81.37777777777778,81.86666666666666
Baana,5,113.6774193548387,115.3225806451613
Baana,6,144.6888888888889,145.14444444444445
Baana,7,127.27956989247312,129.6021505376344
Baana,8,130.76344086021504,131.40860215053763
Baana,9,98.96666666666667,99.27777777777777
Baana,10,64.94623655913979,65.09677419354838
Baana,11,64.94623655913979,65.09677419354838
Museokatu,4,33.181113309413256,33.11101824684443
Museokatu,5,39.75761962105187,39.75697043354571
Museokatu,6,50.05596773976007,50.03646016874544
Museokatu,7,44.87509422561094,44.83906542571891
Museokatu,8,42.0579049538524,42.00460390586893
Museokatu,9,29.779280546002088,29.698641047373798
Museokatu,10,18.316620756614626,18.220855252140932
Museokatu,11,18.316620756614626,18.220855252140932
Mannerheimintie,4,68.5111111111111,69.84444444444445
Mannerheimintie,5,98.3763440860215,101.05376344086021
Mannerheimintie,6,146.23333333333332,148.04444444444445
Mannerheimintie,7,137.93548387096774,138.72043010752688
Mannerheimintie,8,138.16129032258064,137.83870967741936
Mannerheimintie,9,96.81111111111112,97.81111111111112
Mannerheimintie,10,59.333333333333336,59.333333333333336
Mannerheimintie,11,59.333333333333336,59.333333333333336
Sörnäisten metroasema,4,138.86666666666667,135.93333333333334
Sörnäisten metroasema,5,195.1290322580645,193.93548387096774
Sörnäisten metroasema,6,50.05596773976007,50.03646016874544
Sörnäisten metroasema,7,44.87509422561094,44.83906542571891
Sörnäisten metroasema,8,42.0579049538524,42.00460390586893
Sörnäisten metroasema,9,29.779280546002088,29.698641047373798
Sörnäisten metroasema,10,18.316620756614626,18.220855252140932
Sörnäisten metroasema,11,18.316620756614626,18.220855252140932
Töölönkatu,4,70.17777777777778,69.12222222222222
Töölönkatu,5,100.64516129032258,100.33333333333333
Töölönkatu,6,127.06666666666666,125.54444444444445
Töölönkatu,7,113.38709677419355,112.83870967741936
Töölönkatu,8,114.2258064516129,113.78494623655914
Töölönkatu,9,85.28888888888889,85.21111111111111
Töölönkatu,10,55.39784946236559,55.043010752688176
Töölönkatu,11,55.39784946236559,55.043010752688176
Karhupuisto,4,47.93333333333333,40.3
Karhupuisto,5,55.22093023255814,47.77906976744186
Karhupuisto,6,73.64444444444445,65.25555555555556
Karhupuisto,7,71.58064516129032,63.55913978494624
Karhupuisto,8,64.87096774193549,60.225806451612904
Karhupuisto,9,40.733333333333334,36.4
Karhupuisto,10,23.451612903225808,21.053763440860216
Karhupuisto,11,23.451612903225808,21.053763440860216
Rautatientori / länsi,4,109.37777777777778,113.9888888888889
Rautatientori / länsi,5,160.31182795698925,169.8279569892473
Rautatientori / länsi,6,233.17777777777778,237.2
Rautatientori / länsi,7,219.32258064516128,222.4731182795699
Rautatientori / länsi,8,213.55913978494624,214.0215053763441
Rautatientori / länsi,9,155.55555555555554,156.35555555555555
Rautatientori / länsi,10,89.44086021505376,90.31182795698925
Rautatientori / länsi,11,89.44086021505376,90.31182795698925
Lastenlehto,4,40.50561797752809,38.28089887640449
Lastenlehto,5,57.763440860215056,53.87096774193548
Lastenlehto,6,71.4,69.77777777777777
Lastenlehto,7,59.59782608695652,57.72826086956522
Lastenlehto,8,59.69892473118279,58.32258064516129
Lastenlehto,9,44.74444444444445,43.31111111111111
Lastenlehto,10,28.731182795698924,27.849462365591396
Lastenlehto,11,28.731182795698924,27.849462365591396
Mastokatu,4,25.355555555555554,26.711111111111112
Mastokatu,5,34.96774193548387,37.01075268817204
Mastokatu,6,47.5,48.355555555555554
Mastokatu,7,44.655913978494624,46.81720430107527
Mastokatu,8,43.18279569892473,44.41935483870968
Mastokatu,9,28.38888888888889,30.255555555555556
Mastokatu,10,16.602150537634408,18.150537634408604
Mastokatu,11,16.602150537634408,18.150537634408604
Apollonkatu,4,80.42222222222222,80.84444444444445
Apollonkatu,5,120.83870967741936,121.60215053763442
Apollonkatu,6,164.61111111111111,164.67777777777778
Apollonkatu,7,139.0,139.7741935483871
Apollonkatu,8,141.7741935483871,141.98924731182797
Apollonkatu,9,103.12222222222222,105.17777777777778
Apollonkatu,10,69.64835164835165,70.53846153846153
Apollonkatu,11,69.64835164835165,70.53846153846153
Töölönlahdenkatu,4,156.4777777777778,162.0
Töölönlahdenkatu,5,244.21505376344086,246.23655913978496
Töölönlahdenkatu,6,330.97777777777776,331.0888888888889
Töölönlahdenkatu,7,319.5268817204301,320.7956989247312
Töölönlahdenkatu,8,332.19354838709677,332.76344086021504
Töölönlahdenkatu,9,256.9888888888889,257.3777777777778
Töölönlahdenkatu,10,164.89247311827958,166.10752688172042
Töölönlahdenkatu,11,164.89247311827958,166.10752688172042
Töölöntori,4,49.0,46.74444444444445
Töölöntori,5,68.60215053763442,67.45161290322581
Töölöntori,6,89.06666666666666,88.07777777777778
Töölöntori,7,81.21505376344086,81.41935483870968
Töölöntori,8,79.83870967741936,78.97849462365592
Töölöntori,9,58.81111111111111,58.28888888888889
Töölöntori,10,35.25806451612903,35.053763440860216
Töölöntori,11,35.25806451612903,35.053763440860216
Kapteeninpuistikko,4,53.91111111111111,53.4
Kapteeninpuistikko,5,75.3010752688172,73.64516129032258
Kapteeninpuistikko,6,92.81111111111112,90.93333333333334
Kapteeninpuistikko,7,80.13978494623656,79.11827956989248
Kapteeninpuistikko,8,82.6774193548387,81.02150537634408
Kapteeninpuistikko,9,55.233333333333334,54.455555555555556
Kapteeninpuistikko,10,34.25806451612903,33.75268817204301
Kapteeninpuistikko,11,34.25806451612903,33.75268817204301
Sepänkatu,4,69.13333333333334,66.76666666666667
Sepänkatu,5,96.7741935483871,95.43010752688173
Sepänkatu,6,122.65555555555555,121.33333333333333
Sepänkatu,7,107.91397849462365,105.25806451612904
Sepänkatu,8,112.24731182795699,111.46236559139786
Sepänkatu,9,92.1,92.4888888888889
Sepänkatu,10,57.8494623655914,58.96774193548387
Sepänkatu,11,57.8494623655914,58.96774193548387
Ympyrätalo,4,135.24444444444444,143.5
Ympyrätalo,5,198.01075268817203,204.0
Ympyrätalo,6,294.68888888888887,293.6333333333333
Ympyrätalo,7,242.16129032258064,245.76344086021504
Ympyrätalo,8,232.51612903225808,233.90322580645162
Ympyrätalo,9,152.01111111111112,153.25555555555556
Ympyrätalo,10,84.03225806451613,85.90322580645162
