Year,m,d,Time,Time zone,Precipitation amount (mm),Air temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2019,4,1,00:00,UTC,-1,3,8.3,-1.5
2019,4,2,00:00,UTC,0.1,3.1,6.8,-0.1
2019,4,3,00:00,UTC,-1,6,11.7,1.2
2019,4,4,00:00,UTC,-1,7.2,13,3.7
2019,4,5,00:00,UTC,-1,6.1,12.6,0.1
2019,4,6,00:00,UTC,-1,6.4,11.1,1.7
2019,4,7,00:00,UTC,-1,6.5,10.6,0.8
2019,4,8,00:00,UTC,4.3,2.1,9.3,0.6
2019,4,9,00:00,UTC,1.9,1.9,4.4,0.3
2019,4,10,00:00,UTC,0,-0.7,2.3,-1.6
2019,4,11,00:00,UTC,-1,-0.5,4.5,-3.9
2019,4,12,00:00,UTC,-1,1.8,6.2,-4.2
2019,4,13,00:00,UTC,-1,4.3,6.2,1.4
2019,4,14,00:00,UTC,-1,5,8.8,2.8
2019,4,15,00:00,UTC,-1,4.8,10.4,-1.8
2019,4,16,00:00,UTC,-1,7.2,14.1,0
2019,4,17,00:00,UTC,-1,7.4,12.7,0
2019,4,18,00:00,UTC,-1,9.9,16.5,3.7
2019,4,19,00:00,UTC,-1,12,17.5,4.2
2019,4,20,00:00,UTC,-1,9,13.5,4.5
2019,4,21,00:00,UTC,-1,6.5,10,3.6
2019,4,22,00:00,UTC,-1,10.3,16.8,3.8
2019,4,23,00:00,UTC,-1,13,19.1,5.8
2019,4,24,00:00,UTC,-1,12.2,18,4.8
2019,4,25,00:00,UTC,0.1,14.2,18.1,7.4
2019,4,26,00:00,UTC,0,12.5,16.1,10.6
2019,4,27,00:00,UTC,-1,14.7,20.2,8.8
2019,4,28,00:00,UTC,-1,6.4,14.4,4.3
2019,4,29,00:00,UTC,-1,5.8,10.5,-1.5
2019,4,30,00:00,UTC,-1,6.9,11.8,1.7
2019,5,1,00:00,UTC,4.6,8.9,14.9,2
2019,5,2,00:00,UTC,12.5,4.2,8.2,2.7
2019,5,3,00:00,UTC,-1,1.5,5.2,-0.1
2019,5,4,00:00,UTC,5.2,1.7,6.9,-1.7
2019,5,5,00:00,UTC,-1,4.7,9.4,-0.8
2019,5,6,00:00,UTC,0.2,7.1,11.5,2.6
2019,5,7,00:00,UTC,0.1,6.9,10.6,5.3
2019,5,8,00:00,UTC,-1,7.4,11.8,3.9
2019,5,9,00:00,UTC,-1,9.5,13.8,3.2
2019,5,10,00:00,UTC,4,8.4,12.3,6.7
2019,5,11,00:00,UTC,10,9.4,12.1,7.5
2019,5,12,00:00,UTC,-1,9.2,13.8,5.9
2019,5,13,00:00,UTC,-1,8.7,12.5,4.3
2019,5,14,00:00,UTC,0.1,9.3,14.2,6.5
2019,5,15,00:00,UTC,-1,10.6,14.9,4.1
2019,5,16,00:00,UTC,-1,12.4,17.9,4.4
2019,5,17,00:00,UTC,-1,14.3,19.9,6.3
2019,5,18,00:00,UTC,-1,16,20.8,8.3
2019,5,19,00:00,UTC,-1,17.5,21.6,11.5
2019,5,20,00:00,UTC,0.5,17.8,22,13.6
2019,5,21,00:00,UTC,0,18.8,25.3,15.2
2019,5,22,00:00,UTC,0.1,18.1,22.4,14.6
2019,5,23,00:00,UTC,0.6,12.6,17.6,9.7
2019,5,24,00:00,UTC,2,9.3,10.2,8.3
2019,5,25,00:00,UTC,1.1,11,14.7,8.4
2019,5,26,00:00,UTC,14.6,9.2,11.6,7.7
2019,5,27,00:00,UTC,0.7,10.5,14.3,8.4
2019,5,28,00:00,UTC,4.7,12.1,16.6,9
2019,5,29,00:00,UTC,-1,12.6,16.6,10.7
2019,5,30,00:00,UTC,4.3,12.4,16.9,5.9
2019,5,31,00:00,UTC,-1,12,15.9,8.4
2019,6,1,00:00,UTC,3,12.4,17.4,7.3
2019,6,2,00:00,UTC,-1,13.2,18.4,9.8
2019,6,3,00:00,UTC,9.7,13,17.6,6.2
2019,6,4,00:00,UTC,0,17.5,24.1,12.7
2019,6,5,00:00,UTC,0.1,19.6,25,12.8
2019,6,6,00:00,UTC,-1,22,27.2,14.6
2019,6,7,00:00,UTC,-1,22.5,26.4,18.5
2019,6,8,00:00,UTC,1.8,22.9,27.6,17.9
2019,6,9,00:00,UTC,-1,18.6,22.8,16.5
2019,6,10,00:00,UTC,-1,16.6,19.8,13
2019,6,11,00:00,UTC,-1,17.6,22.5,11.8
2019,6,12,00:00,UTC,-1,15,19.1,12.4
2019,6,13,00:00,UTC,0.6,14.2,16.5,12.4
2019,6,14,00:00,UTC,-1,14.5,16.7,12.8
2019,6,15,00:00,UTC,-1,17.3,22.5,13.2
2019,6,16,00:00,UTC,0,18.8,23.8,11.8
2019,6,17,00:00,UTC,-1,19.8,25.7,13.4
2019,6,18,00:00,UTC,-1,18.9,23.8,13.7
2019,6,19,00:00,UTC,-1,18.9,23.7,13.3
2019,6,20,00:00,UTC,-1,20.8,25.8,14.8
2019,6,21,00:00,UTC,-1,20.7,25.9,17.5
2019,6,22,00:00,UTC,0.5,17.2,20.4,13.8
2019,6,23,00:00,UTC,-1,17.7,22.6,12.1
2019,6,24,00:00,UTC,-1,19.3,24.3,13.6
2019,6,25,00:00,UTC,1.1,17,22.4,10.3
2019,6,26,00:00,UTC,2.6,15.3,19.4,12.7
2019,6,27,00:00,UTC,0.4,15.6,20.5,13.4
2019,6,28,00:00,UTC,-1,16.6,22.4,10.4
2019,6,29,00:00,UTC,-1,16,21.6,9.8
2019,6,30,00:00,UTC,-1,17.9,23.5,13.4
2019,7,1,00:00,UTC,-1,18.8,25.1,16
2019,7,2,00:00,UTC,10,15.3,20.3,12.5
2019,7,3,00:00,UTC,-1,15.1,20.7,11.7
2019,7,4,00:00,UTC,15.2,14.2,19.1,9.3
2019,7,5,00:00,UTC,12.4,12.9,17.1,10.8
2019,7,6,00:00,UTC,4.7,13.6,19.7,10
2019,7,7,00:00,UTC,1.2,14.5,18.7,9.7
2019,7,8,00:00,UTC,10.4,15.3,20.3,12.6
2019,7,9,00:00,UTC,-1,12.8,14.7,11.3
2019,7,10,00:00,UTC,-1,16.8,22.1,12
2019,7,11,00:00,UTC,0.7,12.9,19.8,11.2
2019,7,12,00:00,UTC,-1,14.5,20.6,8
2019,7,13,00:00,UTC,-1,16.4,21.2,12.7
2019,7,14,00:00,UTC,-1,15.2,18.8,10.9
2019,7,15,00:00,UTC,0.7,16.6,21.2,12.4
2019,7,16,00:00,UTC,8,16,19.9,14.2
2019,7,17,00:00,UTC,-1,17.7,24.2,11.3
2019,7,18,00:00,UTC,-1,19.3,25.1,11.6
2019,7,19,00:00,UTC,-1,19.8,25.1,14.4
2019,7,20,00:00,UTC,-1,19.8,25.7,12.4
2019,7,21,00:00,UTC,-1,21.1,26.6,13.9
2019,7,22,00:00,UTC,-1,20.2,23.5,17.3
2019,7,23,00:00,UTC,-1,21.4,27.1,16.1
2019,7,24,00:00,UTC,-1,23.2,29.3,15.2
2019,7,25,00:00,UTC,-1,21.2,25.8,18.2
2019,7,26,00:00,UTC,-1,22.5,26.3,16.7
2019,7,27,00:00,UTC,-1,25.5,30.5,18.5
2019,7,28,00:00,UTC,-1,25.2,33.1,20
2019,7,29,00:00,UTC,-1,17.8,21.7,16.5
2019,7,30,00:00,UTC,-1,14,18,10.6
2019,7,31,00:00,UTC,-1,15.8,21.4,11.1
2019,8,1,00:00,UTC,-1,14.7,19.9,11.2
2019,8,2,00:00,UTC,-1,15.6,21,9.6
2019,8,3,00:00,UTC,-1,13.3,17.8,8.9
2019,8,4,00:00,UTC,-1,12.7,18.8,6.4
2019,8,5,00:00,UTC,-1,16,23.7,8.2
2019,8,6,00:00,UTC,0.5,16.7,22,11.8
2019,8,7,00:00,UTC,1.8,17,19.9,14.2
2019,8,8,00:00,UTC,-1,17.5,22,13
2019,8,9,00:00,UTC,-1,17.2,22.7,13.5
2019,8,10,00:00,UTC,-1,18.3,23.5,11.4
2019,8,11,00:00,UTC,7.9,17.8,20.4,16.1
2019,8,12,00:00,UTC,-1,18.4,21.8,16.8
2019,8,13,00:00,UTC,0.8,17.8,21.4,15.2
2019,8,14,00:00,UTC,0.1,16.9,20.7,15.2
2019,8,15,00:00,UTC,0.2,16.9,21.2,13.9
2019,8,16,00:00,UTC,-1,17.1,21.3,12.4
2019,8,17,00:00,UTC,-1,19,23,16.5
2019,8,18,00:00,UTC,1.7,19.2,22,16.8
2019,8,19,00:00,UTC,4,17.4,20.6,15.8
2019,8,20,00:00,UTC,-1,17.6,21.3,14.4
2019,8,21,00:00,UTC,-1,17,20.5,15.5
2019,8,22,00:00,UTC,40.6,16.7,22.7,12.1
2019,8,23,00:00,UTC,9.4,15.9,20.3,12.7
2019,8,24,00:00,UTC,-1,16.9,21.9,13.2
2019,8,25,00:00,UTC,-1,16.3,21.1,9.6
2019,8,26,00:00,UTC,-1,19,23.9,15.2
2019,8,27,00:00,UTC,0.1,18.2,22.6,13.5
2019,8,28,00:00,UTC,-1,19.2,25.4,12.8
2019,8,29,00:00,UTC,3.4,20,22.9,16.3
2019,8,30,00:00,UTC,-1,18.7,22.3,17.3
2019,8,31,00:00,UTC,-1,17.6,21.7,14
2019,9,1,00:00,UTC,0.1,18.4,22.5,14.3
2019,9,2,00:00,UTC,7.8,18,23.5,14.1
2019,9,3,00:00,UTC,-1,15.2,19.5,12.5
2019,9,4,00:00,UTC,-1,15.8,20.1,10.8
2019,9,5,00:00,UTC,4,16,20,11.9
2019,9,6,00:00,UTC,0.6,14.6,18,13.2
2019,9,7,00:00,UTC,2.9,14,18.4,9.3
2019,9,8,00:00,UTC,0.7,15.2,16.7,12.1
2019,9,9,00:00,UTC,4.8,16.8,19.1,14.3
2019,9,10,00:00,UTC,-1,19,21.9,15.4
2019,9,11,00:00,UTC,2.2,16.3,21.1,14.7
2019,9,12,00:00,UTC,0.9,15.3,17.5,14.2
2019,9,13,00:00,UTC,6.6,12.5,16.8,10.3
2019,9,14,00:00,UTC,10,10.1,15.1,7.4
2019,9,15,00:00,UTC,9,10.4,13.6,6.7
2019,9,16,00:00,UTC,0.4,9.9,13.7,7.2
2019,9,17,00:00,UTC,0,8.5,12.1,4.7
2019,9,18,00:00,UTC,0.1,8.1,12.6,5.6
2019,9,19,00:00,UTC,1,5.9,12.8,0.9
2019,9,20,00:00,UTC,1.7,6.6,12.1,0.6
2019,9,21,00:00,UTC,1.5,8.5,10.6,5.5
2019,9,22,00:00,UTC,-1,6.1,10.4,3.2
2019,9,23,00:00,UTC,-1,5.2,11.6,-0.4
2019,9,24,00:00,UTC,3.2,6.7,10.3,3.2
2019,9,25,00:00,UTC,0.5,6.9,8.2,6.7
2019,9,26,00:00,UTC,-1,8.1,13.9,2.6
2019,9,27,00:00,UTC,-1,8.9,13.5,3.6
2019,9,28,00:00,UTC,2.3,11.3,13.7,9.1
2019,9,29,00:00,UTC,0.5,12.2,14.8,10.4
2019,9,30,00:00,UTC,8.4,12.5,14.2,11.1
2019,10,1,00:00,UTC,2.6,7.4,12.6,4.2
2019,10,2,00:00,UTC,0.2,6.5,8.8,3.3
2019,10,3,00:00,UTC,2.5,4.1,6.2,3.1
